secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos
02,008,Balcarce,00101,NO_VOTANTES,2,491,236
02,008,Balcarce,00101,OTROS,2,491,114
02,008,Balcarce,00101,UxP,2,491,47
02,008,Balcarce,00102,EN BLANCO,1,107,2
02,008,Balcarce,00102,LLA_JxC,1,107,26
02,008,Balcarce,00102,NO_VOTANTES,1,107,60
02,008,Balcarce,00102,OTROS,1,107,11
02,008,Balcarce,00102,UxP,1,107,8
02,008,Balcarce,00103,EN BLANCO,1,119,3
02,008,Balcarce,00103,LLA_JxC,1,119,28
02,008,Balcarce,00103,NO_VOTANTES,1,119,69
02,008,Balcarce,00103,OTROS,1,119,15
02,008,Balcarce,00103,UxP,1,119,4
02,008,Balcarce,00104,EN BLANCO,1,263,10
02,008,Balcarce,00104,LLA_JxC,1,263,79
02,008,Balcarce,00104,NO_VOTANTES,1,263,107
02,008,Balcarce,00104,OTROS,1,263,45
02,008,Balcarce,00104,UxP,1,263,22
02,008,Balcarce,0103A,EN BLANCO,1,284,5
02,008,Balcarce,0103A,LLA_JxC,1,284,69
02,008,Balcarce,0103A,NO_VOTANTES,1,284,128
02,008,Balcarce,0103A,OTROS,1,284,61
02,008,Balcarce,0103A,UxP,1,284,21
02,009,Baradero,00105,EN BLANCO,65,22578,4187
02,009,Baradero,00105,LLA_JxC,65,22578,2412
02,009,Baradero,00105,NO_VOTANTES,65,22578,7844
02,009,Baradero,00105,OTROS,65,22578,4126
02,009,Baradero,00105,UxP,65,22578,4009
02,009,Baradero,00106,EN BLANCO,2,539,43
02,009,Baradero,00106,LLA_JxC,2,539,93
02,009,Baradero,00106,NO_VOTANTES,2,539,210
02,009,Baradero,00106,OTROS,2,539,114
02,009,Baradero,00106,UxP,2,539,79
02,009,Baradero,00107,EN BLANCO,19,6021,1064
02,009,Baradero,00107,LLA_JxC,19,6021,499
02,009,Baradero,00107,NO_VOTANTES,19,6021,2618
02,009,Baradero,00107,OTROS,19,6021,751
02,009,Baradero,00107,UxP,19,6021,1089
02,009,Baradero,00109,EN BLANCO,2,706,97
02,009,Baradero,00109,LLA_JxC,2,706,45
