secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,52,General San Martin,00384,48,16908,451,3901,6604,1013,4939
2,52,General San Martin,0377A,169,60608,1278,10938,27735,3274,17383
2,52,General San Martin,0388A,97,34210,845,6808,12947,1771,11839
2,52,General San Martin,0388B,102,35912,799,5518,14239,1571,13785
2,52,General San Martin,0388C,52,18365,400,3307,7562,896,6200
2,53,San Miguel,00397,175,62994,9239,11916,25552,4039,12248
2,53,San Miguel,00400,81,28336,4720,6395,10031,1956,5234
2,53,San Miguel,00401,5,1456,96,368,864,56,72
2,53,San Miguel,00402,92,31853,5459,5404,12744,1713,6533
2,53,San Miguel,0397A,71,24579,4547,3646,8900,1586,5900
2,53,San Miguel,0397B,111,38523,7231,4138,14656,1966,10532
2,53,San Miguel,0397C,103,35754,7244,3995,13780,1794,8941
2,53,San Miguel,0401A,121,43972,6675,8679,18600,2718,7300
2,54,General Viamonte,00404,41,13467,426,1804,4351,2865,4021
2,54,General Viamonte,00405,1,178,3,25,80,25,45
2,54,General Viamonte,00406,1,237,4,35,93,38,67
2,54,General Viamonte,00407,1,75,2,9,42,11,11
2,54,General Viamonte,00408,5,1684,49,210,551,430,444
2,54,General Viamonte,00409,1,322,2,58,93,99,70
2,55,General Villegas,00411,53,18332,565,3721,7715,4090,2241
2,55,General Villegas,00412,1,69,1,5,38,15,10
2,55,General Villegas,00413,4,1061,23,240,424,239,135
2,55,General Villegas,00414,1,210,4,40,84,68,14
2,55,General Villegas,00415,6,1854,43,455,875,270,211
2,55,General Villegas,00416,6,2078,49,465,998,330,236
2,55,General Villegas,00417,1,265,4,53,112,79,17
2,55,General Villegas,00418,4,1125,31,233,461,256,144
2,55,General Villegas,00419,2,389,13,39,147,86,104
2,55,General Villegas,00420,2,577,15,163,223,114,62
2,55,General Villegas,00421,1,201,2,23,95,69,12
2,56,Adolfo Gonzales Chaves,00424,27,8998,1372,1445,3828,248,2105
2,56,Adolfo Gonzales Chaves,00427,5,1701,345,276,591,63,426
2,56,Adolfo Gonzales Chaves,00428,1,224,51,11,93,8,61
2,57,Guamini,00430,10,3055,140,670,1278,354,613
2,57,Guamini,00431,13,4500,151,715,1552,696,1386
2,57,Guamini,00432,5,1667,52,316,661,235,403
2,57,Guamini,00433,1,140,7,40,59,16,18
2,57,Guamini,00434,3,840,29,116,301,167,227
2,58,Hipolito Yrigoyen,00742,26,8270,297,1896,3531,636,1910
2,58,Hipolito Yrigoyen,0742B,1,103,3,17,32,17,34
2,59,Benito Juarez,00436,44,14814,1823,2401,5349,1228,4013
2,59,Benito Juarez,00437,2,113,11,16,55,7,24
2,59,Benito Juarez,00439,9,2818,279,455,1221,141,722
